fid,ang_connectivity,ang_meandepth,class_connectivity,met_choice,met_choice_1000,met_choice_1250,met_choice_1500,met_choice_1750,met_choice_2000,met_choice_250,met_choice_2500,met_choice_3000,met_choice_500,met_choice_750,met_meandepth,met_meandepth_1000,met_meandepth_1250,met_meandepth_1500,met_meandepth_1750,met_meandepth_2000,met_meandepth_250,met_meandepth_2500,met_meandepth_3000,met_meandepth_500,met_meandepth_750,ang_choice,ang_choice_1000,ang_choice_1250,ang_choice_1500,ang_choice_1750,ang_choice_2000,ang_choice_250,ang_choice_2500,ang_choice_3000,ang_choice_500,ang_choice_750,ang_integration,ang_integration_1000,ang_integration_1250,ang_integration_1500,ang_integration_1750,ang_integration_2000,ang_integration_250,ang_integration_2500,ang_integration_3000,ang_integration_500,ang_integration_750,compteur,type_chemin,type_transport,jeu_7_9,jeu_11_13,jeu_17_19,sam_7_9,sam_11_13,sam_17_19
"1",4.2933731,5.5584884,6,130655,30442,48178,70670,91874,111960,917,129167,130540,5713,16060,1240.7856,595.40155,744.97479,911.76709,1052.2966,1170.0876,147.81055,1240.036,1240.7856,297.86075,448.16446,25500,17635,26246,33941,38296,40929,846,33760,26310,3481,9085,595.16461,246.23897,315.63309,398.82434,467.88199,530.81268,49.778801,584.92853,592.59552,112.5349,172.91953,"00000","1","0",,,,,,
"2",3.6214051,6.2482719,5,214801,11457,24108,41125,59372,78254,63,124896,180206,799,3948,1573.2247,666.18073,820.82867,926.38666,1029.7267,1147.4435,174.14061,1387.5135,1549.9126,335.10086,509.96027,437201,11660,29855,59314,94359,142796,22,242610,356365,844,4030,529.10748,213.3405,269.46542,322.56479,358.03424,398.65555,24.998817,467.57758,511.61322,71.779732,144.95407,"00000","1","1",,,,,,
"3",3.5143857,5.5911722,5,251452,15384,33276,55855,79093,104339,71,157792,215943,953,4966,1507.9073,673.71942,801.95691,924.09033,1033.9644,1145.6276,158.13351,1374.9493,1496.9463,350.95157,503.90967,563807,13501,32889,62495,98929,152215,42,279392,437729,954,4741,591.68964,239.82156,311.4729,371.3186,416.45163,457.4248,24.63991,538.97424,578.51813,89.615654,157.95721,"00000","1","0",,,,,,
"4",3.6756024,5.6230369,6,60389,9531,19534,30394,39649,48152,122,55825,59417,901,3388,1487.814,668.89429,796.39984,914.19067,1032.9518,1150.6785,147.97778,1373.3605,1483.5614,343.74341,488.01382,129812,11931,26578,46037,65489,89064,96,124761,150113,969,4265,588.28027,229.56812,307.65305,362.81976,412.32367,451.1911,29.732868,532.83014,574.29926,89.075951,150.59061,"00000","1","0",,,,,,
"5",3.315809,5.7051582,5,45669,9414,16818,24428,30562,35402,138,40993,44870,1098,3672,1464.6696,663.90668,789.96527,904.91785,1030.5391,1149.7161,139.82751,1368.7765,1463.7305,337.54977,483.04694,92980,10579,21386,35041,48052,64837,125,89684,106919,1218,3839,580.10333,212.13605,293.45276,346.66989,393.18011,435.38287,33.010204,513.0528,562.034,82.75782,142.38707,"00000","1","0",,,,,,
"6",3.3594038,5.781271,5,49871,9995,17435,25419,32088,37792,150,44821,49072,1327,4172,1461.8917,664.51703,788.76221,910.34534,1033.6113,1163.7124,145.90421,1374.7211,1461.8917,332.31857,493.45163,89592,11283,21635,34929,47592,64309,102,87801,104015,1296,4007,572.4325,204.8266,286.06754,335.08029,385.03436,426.73975,31.084728,498.72519,552.94574,82.941353,139.91629,"00000","1","0",,,,,,
"7",2.974241,5.8027897,5,9054,2421,3826,5617,6705,7914,79,8914,9054,749,1512,1467.4805,659.81995,788.88934,920.1073,1047.2196,1183.4821,173.99997,1396.712,1467.4805,344.3717,510.45438,73896,11142,20417,31739,42635,57929,36,77052,89154,818,3544,570.3576,199.82962,273.08459,332.18945,376.4155,413.62268,25.012894,478.7551,546.13123,68.436172,133.99536,"00000","1","0",,,,,,
"8",3.596657,5.905026,5,31808,5679,8008,11301,15178,20057,136,28200,31808,1372,3656,1427.6261,639.0885,764.69189,903.85657,1036.1049,1166.3361,172.97443,1382.376,1427.6261,328.54407,498.38455,69116,12411,21234,31768,42301,56702,82,74286,84416,1094,4487,560.47009,197.85927,259.11023,323.10342,378.16208,392.04172,21.71372,454.17023,529.01306,80.298752,139.53516,"00000","1","0",,,,,,
"9",4.7914758,6.6457758,5,25743,9649,14917,19517,22794,24953,117,25677,25743,1229,4495,1403.6462,624.52161,750.29944,901.85681,1036.0443,1165.6021,175.38591,1366.8401,1403.6462,338.64636,482.38681,2870,2479,3108,3013,3298,3303,76,3002,2922,1112,2454,497.95926,177.66466,228.03018,274.81177,323.6734,339.3378,24.76318,401.52902,459.21979,77.69648,123.20346,"00000","1","0",,,,,,
"10",3.8734305,6.3301792,5,73710,15644,24222,33575,43091,51984,287,66259,72903,1926,7111,1364.8884,609.94653,747.64075,893.53265,1038.1365,1153.0396,156.19209,1341.5419,1364.8884,327.26245,473.26657,9434,5604,6002,7099,8375,9103,292,9873,9981,2214,5054,523.18329,177.35789,231.06963,295.31354,350.86063,344.7406,31.6915,414.44272,485.10638,82.088959,130.10088,"00000","1","0",,,,,,
"11",3.058116,6.2088785,5,63417,13732,21494,29603,37473,44795,220,56244,62610,1683,6115,1399.2266,628.21155,760.55078,907.41577,1041.9493,1160.1407,162.75082,1366.7614,1399.2266,323.14917,492.31445,12369,4385,5412,7170,8464,10093,189,11638,12835,1430,2875,533.06866,172.57314,214.81837,272.35208,321.00568,363.2037,26.094187,429.85223,502.27646,72.629967,117.88162,"00000","1","0",,,,,,
"12",1.0508035,6.1927447,3,50061,10195,16839,23626,29957,35611,106,43944,49256,1065,4136,1434.8488,645.39325,779.48083,914.61694,1045.1885,1173.0032,165.07051,1382.7451,1434.8488,337.39334,503.17538,14128,3152,4436,6232,7354,9142,75,11730,14285,1036,1870,534.32697,174.84093,232.06413,283.49515,330.26648,375.95782,25.758249,440.9924,508.86197,71.791771,120.44238,"00000","1","0",,,,,,
"13",2.1543608,6.1729078,4,48876,10025,16607,23280,29439,34887,105,42827,48071,1072,4016,1460.3876,656.72931,783.23608,913.43549,1038.4281,1172.9857,156.66792,1388.6206,1460.3876,338.50369,504.90347,15946,3234,4887,6824,8051,9967,79,13120,16128,1051,1818,535.85095,181.23827,236.79994,293.60986,338.96213,385.07227,26.009651,456.00125,513.44427,73.002235,123.20225,"00000","1","0",,,,,,
"14",1.2076411,5.6989508,3,57824,7632,16433,27122,37596,46580,39,54012,56925,523,2511,1552.424,681.18829,822.34259,938.67944,1035.6541,1151.6196,155.82137,1390.4452,1534.6346,355.96884,519.9975,200646,11137,25384,46314,70589,97610,16,135479,160989,452,3296,580.48596,232.47472,297.13272,357.72067,396.37888,439.50769,19.106245,518.03717,563.8396,78.734863,159.24527,"00000","1","0",,,,,,
"15",1.1958803,5.850956,3,55474,7207,15780,26263,36465,45143,28,52006,54597,449,2304,1613.8569,675.89142,840.63837,952.96484,1046.504,1172.2136,151.30927,1416.1238,1583.4525,370.70468,536.00476,196845,10776,24476,45068,68766,95276,10,132580,157443,363,3102,565.35077,215.64536,278.64209,330.35577,372.92612,414.62988,19.244905,488.97339,544.67224,70.290024,145.7506,"00000","1","0",,,,,,
"16",2.4748235,5.8699126,5,34446,5112,10969,17734,23847,29123,36,32481,33822,410,1710,1661.2867,671.32446,832.29187,953.53485,1056.8748,1182.9431,131.94562,1437.5355,1607.1283,367.19803,520.42804,190070,10231,22848,41249,63825,89916,22,126797,151029,379,2867,563.73071,204.66481,257.3515,310.37659,357.71097,397.02914,22.291052,471.38666,538.39722,62.503639,137.09038,25/18,"1","1",197,197,136,80,112,81
"17",2.0523419,6.4568758,3,24139,3234,6326,10103,14356,18064,29,22285,23862,312,1246,1619.5875,691.90009,839.40686,955.0274,1059.634,1189.6268,152.02136,1427.2124,1585.0741,372.90063,531.82166,3209,1641,2638,3731,3756,3496,8,3269,3241,173,826,512.31964,174.72935,235.09196,286.22318,331.31625,370.54401,14.077075,442.12582,492.73093,48.431004,111.66309,"00000","1","0",,,,,,
"18",2.0200558,6.4117646,3,25848,3355,6554,10408,14853,18838,45,23648,25548,318,1275,1566.7058,700.51245,833.1004,951.53668,1072.1858,1190.7197,152.2541,1410.6416,1549.4011,336.18915,539.7746,6005,1595,2761,4075,4414,4430,18,4990,5596,189,747,515.74988,176.67123,245.82767,297.79227,346.52722,387.02789,12.966584,461.05432,501.08594,44.251747,111.89413,"00000","1","0",,,,,,
"19",2.2846284,5.7414885,4,96217,8967,17930,29346,41126,51697,109,68277,82631,702,3238,1539.8368,687.12488,824.67657,939.41797,1065.6212,1189.7427,144.14441,1401.9584,1525.3107,315.56439,526.03479,32732,7348,14917,22919,30480,36997,89,41068,44067,696,2999,577.03278,203.69743,275.51865,336.82336,391.00046,439.34637,24.634413,524.42944,564.04449,69.285576,131.40807,"00000","1","0",,,,,,
"20",2.961416,5.8930278,5,108928,8135,16493,27289,38149,48286,97,69241,90946,674,3015,1582.7188,690.33899,827.89777,949.66528,1069.6085,1198.8921,146.80251,1420.0581,1562.277,324.97263,518.74048,32417,7788,14709,22589,28937,35505,74,39962,43083,670,3157,561.78918,201.13364,267.3147,326.24973,373.68604,416.52512,26.911526,499.12454,544.94843,67.609993,128.34323,"00000","1","0",,,,,,
"21",4.5706449,6.3885775,6,55068,6520,13140,19983,26717,34557,49,49273,54647,434,2349,1644.6183,682.91138,826.17712,952.54266,1074.5269,1195.1501,163.39084,1432.9869,1598.4838,348.90063,517.3457,21514,10062,16938,22342,26526,26444,22,23821,21968,404,3356,517.75647,187.83531,251.50731,294.02216,336.02094,372.39874,24.052916,438.53833,495.41971,61.62999,127.39417,"00000","1","0",,,,,,
"22",3.1529479,6.3605485,5,54751,6000,12132,19103,26646,35213,93,49711,54441,580,2257,1615.02,682.07629,824.91693,947.76605,1072.5708,1203.6345,155.73656,1424.5684,1580.2295,322.00018,505.11484,17093,7120,13299,18481,22564,21603,62,18791,17561,393,2195,520.06476,193.31772,258.44342,302.40051,337.31219,384.64474,25.958401,454.23697,501.13983,66.414291,124.17182,"00000","1","0",,,,,,
"23",1.0874804,6.3170657,3,50514,4945,10104,16135,22623,30394,100,44990,50119,511,1855,1609.0594,687.02655,824.61633,952.58289,1079.6881,1218.7477,165.22107,1425.8206,1576.5032,315.25183,503.03247,19072,7084,13785,18836,23031,22437,70,20822,20098,504,2215,523.80414,193.88373,258.89526,304.89185,341.12717,389.06668,24.19742,464.22086,507.41925,64.80909,120.26669,"00000","1","0",,,,,,
"24",1.9588145,6.3075862,3,51776,5012,10193,16218,22798,30829,107,45887,51349,550,1862,1595.2686,688.2569,827.66803,948.70441,1083.1255,1228.6572,158.32246,1427.7012,1571.8671,311.97232,500.60373,20100,7281,14037,18970,23160,22604,76,21673,21127,576,2320,524.49542,194.32047,258.53101,305.90161,344.31555,393.43845,23.259512,470.44644,510.33255,64.877899,117.12928,"00000","1","0",,,,,,
"25",3.2224121,7.0211511,5,78142,7405,12931,19483,26569,33475,125,47195,63373,1228,3859,1613.4838,647.71722,822.20264,917.13074,1026.0994,1140.7861,167.29919,1391.7147,1586.0177,323.67392,487.95007,26939,8036,12146,17868,21690,23925,96,26701,27992,1413,4361,470.49246,180.94147,234.98943,283.13937,320.11752,359.50632,35.502544,419.76709,459.6011,77.93354,128.60017,"00000","1","0",,,,,,
"26",2.6059651,6.7560501,5,184198,13165,25649,41874,57750,74124,172,113029,155627,1463,5548,1625.4541,641.99609,819.30139,919.66022,1034.6772,1145.8558,157.26039,1396.7131,1587.6926,320.77319,491.24487,41150,8770,14741,23011,28853,33380,164,40443,46241,1707,5006,488.8551,182.38365,239.31227,286.9469,323.63913,360.74646,32.550098,418.69324,469.20657,77.355965,131.07001,"00000","1","0",,,,,,
"27",1.8679769,6.8971653,3,114457,8725,16470,26616,36480,46022,129,68961,94341,968,3672,1656.5548,645.93286,821.91608,935.74677,1046.3314,1150.266,148.18893,1411.85,1606.7778,315.48193,497.60638,18113,5155,7527,11193,12493,12736,120,16572,19844,1169,3135,478.80792,172.96376,225.58928,276.12592,312.237,347.31412,28.07674,407.20901,456.72665,68.811646,122.58343,"00000","1","0",,,,,,
"28",0.37126476,6.9549589,2,112401,8566,16059,26108,35804,45085,149,67424,92362,964,3604,1677.5815,643.92371,821.9906,943.90521,1048.1664,1143.4836,138.06485,1420.2819,1616.908,307.26187,496.81198,14731,4935,6926,10245,11255,11023,144,14114,16766,1187,3048,474.91068,173.39069,220.57974,270.15527,305.69208,339.60645,27.207415,400.40421,451.0752,64.13192,120.60489,"00000","1","0",,,,,,
"29",1.1687095,7.1585951,3,110735,8640,15991,25974,35529,44568,188,66286,90794,1012,3661,1687.4896,641.54968,817.40912,944.34094,1042.542,1135.5746,129.84419,1420.386,1620.2413,294.90982,492.40616,11470,4887,6514,9473,10181,9497,184,11848,13815,1240,3074,461.33759,175.23318,215.41098,264.02383,298.86929,329.96448,29.399183,387.16022,436.96881,66.087776,121.97404,"00000","1","0",,,,,,
"30",1.7092758,7.3681479,3,76343,7011,13822,23450,36101,49790,302,70066,75836,1123,3239,1696.0144,640.94739,815.5802,945.77747,1040.7841,1130.949,127.74288,1420.0106,1623.1484,297.77612,492.66238,7563,5942,8791,10041,10853,9983,298,9118,7400,1091,3217,448.07449,169.6832,214.28181,256.15585,292.40253,319.87677,28.223631,375.16873,423.30142,64.588379,116.37761,"00000","1","0",,,,,,
"31",1.7230958,7.545125,3,74197,6833,13519,22935,35427,48906,299,68510,73810,1105,3150,1708.9149,644.11505,815.71204,946.79907,1040.3163,1132.6094,130.08061,1419.9128,1626.9618,297.86588,488.03485,4204,5808,8370,9379,9914,8734,299,7035,4526,1099,3215,437.57706,167.95192,211.16035,250.61223,285.9689,312.73584,28.622215,364.46826,412.18826,66.783226,116.22092,"00000","1","0",,,,,,
"32",1.6313777,7.5337386,4,129842,9756,19713,33980,51279,70128,329,101830,121600,1404,4319,1712.4198,641.95264,815.21106,944.26483,1040.4915,1130.2041,131.90182,1416.9219,1624.9948,299.83862,484.40018,17781,8166,12279,16347,20585,21814,417,20612,19014,1685,4559,438.27328,169.25409,213.26225,252.52087,286.60803,313.32523,32.462795,364.63016,412.49017,71.454376,119.12691,"00000","1","0",,,,,,
"33",2.9530869,7.5690641,5,97397,6716,13210,23080,34962,48115,267,72319,89439,964,2979,1734.8505,641.58295,802.46997,943.94257,1042.2169,1130.5166,143.50862,1413.3453,1632.8112,300.11365,477.90439,17598,8235,12399,16390,20690,21523,328,20338,18453,1633,4500,436.33203,167.59468,212.05305,249.33679,282.91251,309.67694,38.033924,360.42255,407.46429,75.704109,118.81163,"00000","1","1",,,,,,
"34",2.2703815,7.1191216,4,69635,7462,13398,20799,28429,34957,194,45380,56130,1096,3436,1734.5232,643.27258,798.70349,938.51263,1040.9552,1133.4928,147.92578,1406.9736,1640.5662,305.18042,477.7373,70202,13469,23156,33069,41215,49095,177,58450,70729,1767,6550,464.18192,166.73976,217.89233,259.8306,295.17398,324.22632,36.352127,380.76703,431.48227,88.911369,129.4538,"00000","1","1",,,,,,
"35",2.062927,7.0561142,4,71783,7729,13897,21430,29146,35884,181,46945,58148,1140,3552,1702.5232,639.86493,800.09839,925.68323,1031.4156,1126.2791,156.08537,1408.0875,1626.4097,316.23123,476.35196,73808,13827,23771,34110,42549,50827,153,60942,73954,1806,6666,468.23489,171.46854,224.77989,269.2782,304.46432,332.78348,37.953342,388.97507,439.55334,92.100128,133.22127,"00000","1","1",,,,,,
"36",3.9421918,6.3139544,6,113233,6045,11381,18978,29024,40273,193,63961,92515,1026,2736,1687.181,639.55072,800.82196,920.47571,1029.9131,1127.462,154.60573,1407.6965,1619.1488,314.21024,478.76016,376809,9566,21256,43380,73512,113270,164,198080,295815,1029,3855,523.98169,183.16841,240.43321,291.49106,335.02283,370.13593,30.09181,437.01077,496.72202,81.635666,132.59924,"00000","1","1",,,,,,
"37",2.2901886,6.2777328,4,92402,3716,7233,12214,18699,25796,127,44578,71758,553,1602,1681.7333,640.12128,803.24115,921.06415,1032.7612,1130.7729,149.70294,1407.8896,1615.2106,315.44443,484.79593,387607,9624,22643,46251,77044,117774,79,204933,305432,673,3377,526.8761,179.83032,245.89894,293.15393,335.59119,375.0224,29.631639,441.95789,501.02789,78.235214,135.75958,"00000","1","0",,,,,,
"38",2.296499,6.2684259,4,94152,3632,7288,12404,19061,26408,98,45801,73432,479,1516,1649.8711,647.07678,822.62256,923.61566,1037.6508,1144.9652,159.70557,1403.4791,1600.8702,329.38159,500.54187,390844,9634,23030,46997,77989,119184,73,207105,308361,627,3324,527.51233,190.43465,252.76099,302.2507,341.35913,383.14865,27.310083,448.59357,505.12619,78.940819,139.55257,"00000","1","0",,,,,,
"39",2.112998,7.0502892,4,97976,9080,17685,28448,40238,51685,138,69717,83794,1149,3914,1687.762,642.12207,803.55292,915.30725,1020.8104,1124.1788,156.83302,1399.9895,1627.9546,314.23764,472.45425,29353,11505,18717,26705,31431,34044,119,32042,33181,1842,6190,468.7244,167.76593,224.74348,269.56683,305.55359,332.12195,40.415428,388.7439,439.4277,90.997246,131.39299,"00000","1","1",,,,,,
"40",1.12757,7.056036,3,99320,9293,18057,28874,40675,52218,140,70614,85085,1198,3992,1672.9612,642.66028,798.23822,904.46246,1001.009,1120.9346,158.39908,1397.353,1634.9915,318.49249,462.91953,26801,11569,18770,26666,31197,33489,127,31044,31381,1861,6145,468.35852,160.45462,221.74399,264.25586,301.7196,326.17892,39.688236,384.10513,434.30316,87.701202,127.31578,"00000","1","0",,,,,,
"41",2.0203598,7.1286082,4,104152,12458,23082,34901,46511,56527,219,73294,89586,1711,5542,1650.4054,644.18146,793.35437,896.93372,994.78601,1117.7714,159.31943,1389.8025,1619.4225,321.45682,462.46317,24903,12428,19778,27407,31373,33452,202,30398,29840,2367,6369,463.68936,169.42628,224.78656,265.77692,299.06128,334.76669,42.984341,393.46381,440.3154,85.464569,127.76817,"00000","1","0",,,,,,
"42",2.88061,7.9119811,4,14712,4465,7388,9593,11469,12912,164,14101,14665,930,2358,1657.0934,644.92297,802.18018,903.37085,1002.0197,1121.0822,151.54529,1394.0228,1622.9922,318.62872,464.77908,1842,1775,2364,1924,2119,1970,195,1870,1858,924,1230,417.05823,133.18594,184.31931,228.00261,260.25699,292.86139,30.651081,350.95432,395.7756,67.82518,102.21528,"00000","1","0",,,,,,
"43",2.9295909,7.8698449,4,12681,4691,7258,8833,10277,11216,125,12068,12647,900,2532,1616.104,648.25043,814.69397,910.27338,1017.9624,1132.41,161.54124,1391.2964,1591.1594,320.45685,480.58771,13098,2014,3329,5011,5687,7284,94,9754,12355,839,1362,419.23407,148.22757,191.12233,239.59981,271.02835,307.80347,32.172955,363.55533,404.64206,68.450005,108.39678,"00000","1","0",,,,,,
"44",1.0838748,7.1435127,3,107980,11260,22198,34689,47156,58089,208,76168,93332,1583,4903,1633.191,641.22009,795.44879,901.92181,999.03961,1123.0011,155.40158,1391.6869,1607.1664,321.37823,470.84293,23128,12355,19810,26316,29866,31864,247,28556,27930,2334,6316,462.78925,166.65736,223.29149,264.99664,297.8515,332.96921,41.434364,391.90817,441.60718,86.116783,127.15742,"00000","1","0",,,,,,
"45",0.96811789,7.162159,3,110021,11452,22579,35211,47840,59018,232,77763,95347,1604,4977,1603.2194,645.35815,788.02148,890.09491,989.65033,1118.4087,155.47054,1391.8851,1583.8245,309.93582,473.62601,23227,12562,20227,26724,30173,32138,275,28682,27934,2394,6380,461.59424,166.23074,209.46167,263.93729,294.64706,329.37149,41.828854,387.54602,437.61902,86.282059,125.93813,"00000","1","1",,,,,,
"46",1.3009096,7.1857948,3,139186,13579,26053,39565,53359,67035,381,95915,121989,2026,5863,1583.7772,650.44031,783.17755,886.54352,987.03406,1119.0935,142.77495,1391.3413,1569.2589,302.36078,479.76074,16733,11271,16571,20686,25199,26793,504,24105,23020,2829,6886,460.13892,167.67119,206.63924,264.14557,291.30612,328.29965,39.889217,392.79498,433.52521,82.442978,121.99853,"00000","1","0",,,,,,
"47",2.8413911,7.2381091,4,139735,13784,26271,39805,53573,67232,393,96258,122522,2057,5934,1579.5774,652.22241,778.49475,880.91418,981.46216,1117.2236,137.54933,1390.1974,1566.9512,301.65036,471.72638,16837,11475,16970,20946,25321,26798,521,24132,22855,2847,6951,457.01486,170.10651,206.69707,264.40466,293.50473,325.78326,38.692608,389.62357,438.38849,81.879593,121.19456,"00000","1","1",,,,,,
"48",1.4347417,6.9590826,4,176718,12888,24199,38107,51642,65887,367,97385,139428,1752,5548,1579.6276,657.43701,782.41449,886.34393,987.01025,1125.8732,134.34602,1393.2866,1569.8068,298.46365,479.74121,53055,23640,38135,50126,62311,66419,502,63631,65755,3247,10599,475.92389,181.85408,223.71754,271.57562,301.36713,331.60309,40.34565,399.60638,450.2565,88.34024,129.4411,"00000","1","1",,,,,,
"49",2.274107,6.9059114,4,177743,12846,24175,38152,51819,66246,370,98135,140447,1721,5491,1565.0521,660.4881,781.5141,885.60571,990.3399,1132.218,131.45737,1391.9424,1557.922,291.07162,480.00745,54118,23617,38083,50229,62508,66831,509,64716,67199,3177,10435,479.58493,179.26669,223.49081,273.39023,304.55521,334.24097,37.632877,406.95847,455.92081,81.062256,131.08855,"00000","1","0",,,,,,
"50",1.9862692,6.8991585,4,194779,13134,24751,39756,54951,71866,297,110185,157213,1313,4979,1558.2428,659.95673,783.04749,887.72662,992.88538,1133.8879,128.66878,1390.2911,1554.198,286.1889,483.9888,62265,20216,34209,46098,59812,66398,368,72618,80165,2469,8332,479.94858,179.66943,221.93176,273.18878,306.59586,337.65781,35.618244,411.03149,457.44727,76.062286,134.38077,"00000","1","0",,,,,,
"51",0.28617477,6.8168268,2,194628,12856,24353,39294,54486,71421,278,109880,157058,1236,4770,1559.6226,664.06268,789.62354,892.59918,1002.584,1140.0471,142.42967,1393.4065,1556.5153,285.85648,493.12222,63469,20236,34345,46391,60299,67122,332,74066,81941,2384,8228,486.03482,180.4838,231.17409,275.53696,309.76672,343.51944,35.82803,418.85339,464.77402,74.104927,133.84132,"00000","1","0",,,,,,
"52",1.9700292,6.7227707,4,195655,12829,24332,39327,54662,71808,283,110671,158084,1222,4702,1552.1205,660.34149,794.11127,896.15393,1006.2633,1150.0128,158.9789,1396.6362,1550.361,282.80518,489.92334,64715,20393,34638,46812,60948,68053,318,75670,83843,2352,8218,492.93234,185.88708,236.41322,280.44232,317.01276,350.92316,36.573502,428.5307,473.01349,77.339539,136.42618,"00000","1","0",,,,,,
"53",3.9676383,6.7161832,6,225858,16536,30490,47790,65753,86524,281,133764,187680,1656,5920,1530.1104,655.57416,791.52539,895.88171,1008.2488,1155.772,160.97681,1398.2981,1530.1104,291.34427,492.81735,69795,20707,34910,47576,62434,70731,327,80716,90008,2420,7769,493.14832,188.8436,240.2207,285.47397,323.15536,359.12762,36.033314,433.4642,477.1615,80.666016,141.72287,"00000","1","0",,,,,,
"54",2.2580056,6.6931615,4,299648,18405,35423,58376,82981,111410,188,174976,246634,1524,6346,1510.4004,647.85229,784.44434,899.948,1017.0291,1163.3,159.48311,1404.4027,1510.4004,305.7449,501.23889,83187,23271,41931,61479,77428,84780,209,97003,106287,2203,8280,494.71069,195.65106,246.25111,290.59695,334.96277,375.72534,31.495117,443.62881,484.37265,82.484482,142.22057,"00000","1","0",,,,,,
"55",1.0413953,6.6680984,3,300821,18609,35622,58683,83456,112115,192,176110,247807,1548,6491,1481.6478,641.88538,778.13416,906.99115,1028.8256,1169.088,141.03043,1405.3514,1481.6478,313.0163,500.44604,84703,23620,42461,62167,78323,86018,230,98938,108509,2212,8434,496.5972,200.66216,247.9321,296.37326,339.92648,386.87668,26.305044,451.00995,487.73254,84.036926,140.51523,"00000","1","0",,,,,,
"56",1.0295486,6.6606369,3,367752,30348,52402,81020,113096,151954,220,234678,314709,2786,12302,1467.5282,641.69922,771.61639,903.08698,1027.8278,1166.944,143.26834,1399.6692,1467.5282,316.19516,499.80496,105257,30918,51766,73819,92622,105172,234,124330,137023,3103,12746,497.11368,202.37309,249.77484,297.6622,343.60559,390.46286,26.473734,452.6777,489.40997,85.142723,139.65256,"00000","1","0",,,,,,
"57",2.3153124,6.6531243,4,370106,30761,52999,81874,114328,153569,206,236932,317063,2858,12580,1437.4764,640.82654,763.29773,901.3446,1028.0388,1159.2775,152.68173,1386.2372,1437.4764,325.50674,494.84769,106734,31411,52453,74713,93723,106610,206,126468,139282,3171,13069,497.64136,204.42712,251.89549,303.02121,349.33426,396.0751,27.692232,457.58817,490.96078,87.716774,140.53262,"00000","1","0",,,,,,
"58",1.709034,5.8817439,4,328225,19514,35838,58789,86187,120453,144,198198,275182,1391,7062,1416.4327,634.22919,759.41577,897.88416,1028.8439,1158.6818,169.07819,1371.9056,1416.4327,337.0878,490.51337,101891,37678,63300,88469,106851,121941,144,131766,132677,2320,13819,562.66956,219.27754,273.02747,334.57361,386.71323,441.02942,27.22299,496.56198,540.44952,92.893005,150.63005,"00000","1","1",,,,,,
"59",0.20966357,5.8870349,2,329274,19620,36029,59052,86687,121149,126,199227,276231,1378,7134,1403.5851,630.99084,756.04236,897.01208,1033.0355,1163.4434,178.38184,1363.3729,1403.5851,349.38657,487.73477,101872,38037,63707,88827,107211,122190,111,132017,132701,2360,14086,562.30096,216.78363,269.27609,330.12115,382.12442,438.08859,27.368204,493.47556,537.64294,93.735725,151.89165,"00000","1","1",,,,,,
"60",0.59503472,5.9702272,2,331310,20017,36582,59763,87762,122584,134,201192,278267,1468,7402,1386.4495,622.80481,752.97046,894.40912,1035.0811,1161.6019,176.14966,1350.4015,1386.4495,352.73425,482.0011,101988,38477,64199,89286,107762,122578,110,132429,132872,2449,14412,554.51666,219.65839,269.52426,329.00473,380.14859,435.06219,31.277328,500.46265,543.67523,92.755554,152.83565,"00000","1","0",,,,,,
"61",0.59758264,6.0454392,2,333467,20499,37225,60597,88958,124164,157,203294,280424,1600,7737,1373.8943,615.81329,746.48126,891.04608,1033.2269,1160.6489,172.46506,1342.9673,1373.8943,348.6246,478.2905,102388,39020,64827,89886,108489,123188,131,133245,133303,2603,14786,547.75494,226.66489,282.06757,345.89886,395.68958,445.97437,33.83223,499.10562,539.62238,94.230339,162.86705,"00000","1","0",,,,,,
"62",2.1440363,6.027307,4,335751,21098,38012,61629,90336,125923,205,205542,282708,1828,8157,1338.8657,602.15002,737.49268,890.80225,1027.3622,1148.1194,157.37442,1316.8525,1338.8657,340.28052,465.24707,103163,39683,65610,90727,109560,124213,170,134465,134116,2815,15254,549.35089,235.78712,292.05685,353.69293,409.66873,453.68741,38.223164,508.57816,542.10876,103.70823,172.35141,"00000","1","1",,,,,,
"63",5.6514897,5.6283879,6,129341,20772,34040,50940,71347,91220,456,119469,127855,3224,9804,1301.3588,583.40405,740.1593,887.86438,1036.2903,1135.7968,152.07048,1296.1578,1301.3588,313.15811,454.12296,138112,24114,37550,54652,76465,99251,474,146354,158556,4817,12747,587.37872,242.14954,324.32159,401.94519,473.85803,518.62909,46.291855,570.19421,584.68988,113.49451,169.88217,"00000","1","0",,,,,,
"64",3.9476616,5.4554529,5,29290,12628,17798,22665,26112,28732,347,29288,29290,2867,6859,1285.2122,580.90088,749.95862,902.9765,1052.4445,1148.4341,171.43091,1282.9823,1285.2122,306.25229,458.68042,136284,20943,32252,46879,69135,92140,302,144629,157448,4731,11159,606.29749,250.22487,339.5513,423.76428,493.3876,543.39331,47.425289,593.20416,604.04602,114.71555,171.80055,"00000","1","1",,,,,,
