fid,ang_connectivity,ang_meandepth,class_connectivity,met_choice,met_choice_1000,met_choice_1250,met_choice_1500,met_choice_1750,met_choice_2000,met_choice_250,met_choice_2500,met_choice_3000,met_choice_500,met_choice_750,met_meandepth,met_meandepth_1000,met_meandepth_1250,met_meandepth_1500,met_meandepth_1750,met_meandepth_2000,met_meandepth_250,met_meandepth_2500,met_meandepth_3000,met_meandepth_500,met_meandepth_750,ang_choice,ang_choice_1000,ang_choice_1250,ang_choice_1500,ang_choice_1750,ang_choice_2000,ang_choice_250,ang_choice_2500,ang_choice_3000,ang_choice_500,ang_choice_750,ang_integration,ang_integration_1000,ang_integration_1250,ang_integration_1500,ang_integration_1750,ang_integration_2000,ang_integration_250,ang_integration_2500,ang_integration_3000,ang_integration_500,ang_integration_750,compteur,type_chemin,type_transport,jeu_7_9,jeu_11_13,jeu_17_19,sam_7_9,sam_11_13,sam_17_19
"2113",1.3302194,8.0529537,2,7289,1023,1672,2235,2888,3881,78,5151,6148,277,590,2042.6428,614.1106,803.70624,940.63269,1096.0566,1293.8882,139.39252,1552.2454,1769.0055,298.07968,462.3486,52,98,136,247,152,165,48,84,69,111,104,411.88995,87.649605,108.9203,157.11406,201.88237,243.08469,15.106552,308.14987,349.97034,43.064499,66.274055,"00000","0","0",,,,,,
"2114",1.224597,8.002389,2,4181,672,1084,1444,1835,2419,67,3099,3591,188,387,2072.1287,615.24835,806.8089,948.6665,1100.5507,1299.9119,143.31372,1567.9657,1783.9734,306.80072,466.33066,12,42,61,124,43,41,23,18,22,45,48,415.14398,81.058411,110.65189,144.74438,194.57265,236.26067,13.696421,302.5293,343.66519,34.706837,58.188545,"00000","0","0",,,,,,
"2115",0.65106905,7.7183127,2,3841,613,947,1251,1603,2111,74,2767,3259,192,381,2067.1091,607.95355,807.28107,949.62793,1100.8695,1305.34,136.12213,1571.0505,1784.0283,304.35672,456.35208,1312,218,323,503,573,732,32,1051,1162,51,136,430.63931,88.187401,116.80024,158.45535,208.26424,252.27824,12.17118,319.32556,360.1066,34.403015,62.695244,"00000","0","0",,,,,,
"2116",2.3446574,7.3619394,3,6218,808,1231,1625,2139,2899,100,4096,5091,276,532,2046.4829,612.97614,801.22754,945.57867,1099.479,1303.1427,130.15596,1563.2988,1778.5369,294.01929,447.4938,2652,467,662,1048,1235,1575,59,2163,2391,117,295,451.63132,97.661964,127.95531,179.46164,229.86748,275.51315,14.973429,342.76486,382.86249,42.011818,70.495094,"00000","0","0",,,,,,
"2117",2.0986521,6.2287397,4,33065,3047,4941,6870,9104,12937,179,19805,25845,853,1823,1980.4858,611.06799,780.09894,931.75922,1100.2595,1298.9479,152.79984,1527.2653,1748.8721,282.465,430.38257,128018,4444,9131,16728,26368,39347,154,74667,106618,948,2130,535.30548,143.93553,173.54457,257.53568,318.29675,365.72894,28.213341,431.16776,470.63599,70.733185,110.41257,"00000","1","0",,,,,,
"2118",1.1748844,6.3548555,3,29997,2671,4367,6072,8000,11387,152,17718,23248,758,1620,2015.0474,614.30389,790.4635,938.54254,1101.6862,1306.7421,134.63722,1547.6963,1764.6718,286.30762,438.23166,125187,4289,8872,16173,25544,38216,148,72864,104185,867,2028,524.41229,136.38387,167.94942,244.90579,304.2803,351.12149,24.585346,418.31201,457.50073,64.68412,102.71912,"00000","1","0",,,,,,
"2119",1.3596456,6.3656821,3,22686,2317,3696,5085,6525,8910,174,13549,17567,691,1460,2041.6442,608.8999,799.31909,942.91376,1096.1295,1300.5911,134.45404,1559.5878,1774.7903,292.04501,443.53677,119000,3971,8375,14964,23580,35649,210,68656,98830,763,1870,523.5777,133.93149,169.994,233.62329,297.60791,345.90497,24.105049,414.92999,453.95483,63.736679,100.09042,"00000","1","0",,,,,,
"2120",2.0392079,6.6710544,3,20554,2184,3504,4844,6173,8339,177,12463,15980,660,1387,2056.6321,608.82343,798.84418,951.02368,1097.016,1298.7515,137.1078,1561.6633,1777.6085,298.1593,446.28131,116195,3865,8228,14584,22917,34693,221,67071,96553,719,1816,499.439,128.7072,169.53407,222.88033,279.97284,325.00647,24.986942,392.81943,429.6369,59.10511,94.645363,"00000","1","0",,,,,,
"2121",0.64078891,8.1959028,2,20880,2873,5724,9498,12477,15198,49,17854,19070,316,1145,2150.2256,683.01569,807.98334,974.42914,1097.1948,1237.9906,137.65887,1551.2225,1776.1172,327.00894,510.3204,4195,2070,2131,2027,2359,2835,48,3820,4460,310,952,404.94437,85.037865,109.36076,127.74566,156.88867,201.95403,8.7163773,276.62076,323.22723,24.680218,51.517723,"00000","0","0",,,,,,
"2122",1.0090364,8.5315571,2,21734,2940,5842,9654,12711,15487,65,18218,19628,340,1188,2144.3909,676.63507,807.29218,973.20422,1095.7145,1240.4999,121.92484,1549.584,1773.6211,322.7132,518.89563,2885,2162,2214,1975,2134,2304,72,2861,3146,361,1024,388.89243,85.848343,109.54837,132.81279,156.78831,192.362,10.03215,262.32654,308.25824,24.149559,52.061836,"00000","0","0",,,,,,
